video_index,section_number,section_name,video_code,slide_number,slide_name
2,2,Chart Basics and Price Action,02A,17,Main Points How Markets Work
2,2,Chart Basics and Price Action,02A,18,Purpose of Markets
2,2,Chart Basics and Price Action,02A,19,Example Housing Market
2,2,Chart Basics and Price Action,02A,20,Example Housing Market
2,2,Chart Basics and Price Action,02A,21,Housing Market
2,2,Chart Basics and Price Action,02A,22,Home Buyers and Sellers Need to Know Recent Prices
2,2,Chart Basics and Price Action,02A,23,Many Buyers and Sellers Price Is More Accurate
2,2,Chart Basics and Price Action,02A,24,Financial Markets Same as All Markets
2,2,Chart Basics and Price Action,02A,25,Financial Markets Same as All Markets
2,2,Chart Basics and Price Action,02A,26,Goal of All Markets Find Fair Price
2,2,Chart Basics and Price Action,02A,27,How Markets Find Fair Price
2,2,Chart Basics and Price Action,02A,28,What Happens at Fair Price
2,2,Chart Basics and Price Action,02A,29,Goal of Every Market Trading Range
2,2,Chart Basics and Price Action,02A,30,Constantly Confirming Trading Range
2,2,Chart Basics and Price Action,02A,31,Goal of Markets Force Traders to Trade
2,2,Chart Basics and Price Action,02A,32,Trading Range Breakout Attempts
2,2,Chart Basics and Price Action,02A,33,Review
3,2,Chart Basics and Price Action,02B,1,Main Points
3,2,Chart Basics and Price Action,02B,2,If Price Too Low Volume Gets Less
3,2,Chart Basics and Price Action,02B,3,Market Needs More Sellers Goes up to Find Them
3,2,Chart Basics and Price Action,02B,4,Volume Divergence Often Leads to Rally
3,2,Chart Basics and Price Action,02B,5,Should Traders Watch Volume
3,2,Chart Basics and Price Action,02B,6,Should Traders Watch Volume
3,2,Chart Basics and Price Action,02B,7,No Volume for Forex Markets
3,2,Chart Basics and Price Action,02B,8,Other Uses for Volume
3,2,Chart Basics and Price Action,02B,9,DOM (Depth of Market)
3,2,Chart Basics and Price Action,02B,10,Basic Time and Sales Often Not Accurate
3,2,Chart Basics and Price Action,02B,11,Basic Time and Sales Often Not Accurate
3,2,Chart Basics and Price Action,02B,12,Unintended Consequence
3,2,Chart Basics and Price Action,02B,13,Main Points News
3,2,Chart Basics and Price Action,02B,14,News Not Important Reaction to News Is All That Matters
3,2,Chart Basics and Price Action,02B,15,Market Can Rally on Bad News or Sell Off on Good News
3,2,Chart Basics and Price Action,02B,16,Market Can Rally on Bad News or Sell Off on Good News
3,2,Chart Basics and Price Action,02B,17,Risk On and Risk Off
3,2,Chart Basics and Price Action,02B,18,Risk On and Risk Off
3,2,Chart Basics and Price Action,02B,19,FOMO Trading Fear Of Missing Out
3,2,Chart Basics and Price Action,02B,20,FOMO Trading Fear Of Missing Out
3,2,Chart Basics and Price Action,02B,21,Momentum Traders Ignore Fundamentals
3,2,Chart Basics and Price Action,02B,22,Value Traders Buy When Cheap
3,2,Chart Basics and Price Action,02B,23,Review
4,2,Chart Basics and Price Action,02C,1,Main Points
4,2,Chart Basics and Price Action,02C,2,Price Action Any Representation of Price Movement
4,2,Chart Basics and Price Action,02C,3,"Price Action Every Move Is ""Action"""
4,2,Chart Basics and Price Action,02C,4,Price Action Everything Is Important
4,2,Chart Basics and Price Action,02C,5,Price Action Genetically Based
4,2,Chart Basics and Price Action,02C,6,"Stock Market (Dow, Monthly) Same as Long Ago"
4,2,Chart Basics and Price Action,02C,7,All Markets and Timeframes All Have Same Price Action
4,2,Chart Basics and Price Action,02C,8,Main Points What Is the Pain Trade?
4,2,Chart Basics and Price Action,02C,9,Beginners Hate Pain Trade Low Probability Event
4,2,Chart Basics and Price Action,02C,10,Pain Trade Too Many Traders Betting Wrong Way
4,2,Chart Basics and Price Action,02C,11,Losers Trapped into Loss and out of Win
4,2,Chart Basics and Price Action,02C,12,"Professional Traders Get Trapped, but Not Upset"
4,2,Chart Basics and Price Action,02C,13,Professonal Traders Love Pain Trade
4,2,Chart Basics and Price Action,02C,14,"Pain Trade Relentless, Successful Breakout"
4,2,Chart Basics and Price Action,02C,15,Breakout Traders Decide Price Is Now Wrong
4,2,Chart Basics and Price Action,02C,16,Breakout Tells Traders That Price Is Now Wrong
4,2,Chart Basics and Price Action,02C,17,Price Leads Fundamentals
4,2,Chart Basics and Price Action,02C,18,Example Bull Breakout
4,2,Chart Basics and Price Action,02C,19,Example Bull Breakout
4,2,Chart Basics and Price Action,02C,20,At Top of Trading Range Look for Change in Behavior
4,2,Chart Basics and Price Action,02C,21,Not Enough Selling Market Will Go Higher to Find Sellers
4,2,Chart Basics and Price Action,02C,22,Pain Trade Succesful Breakout of Any Support or Resistance
4,2,Chart Basics and Price Action,02C,23,Pain Trade Low Probability Breakout
4,2,Chart Basics and Price Action,02C,24,Succesful Breakout Rare
4,2,Chart Basics and Price Action,02C,25,Market Cycle Alternates between Trend and Trading Range
4,2,Chart Basics and Price Action,02C,26,Review
5,2,Chart Basics and Price Action,02D,1,Main Points
5,2,Chart Basics and Price Action,02D,2,Candlestick Patterns Get Rich!!
5,2,Chart Basics and Price Action,02D,3,You Correctly Believe Institutions Make a Lot of Money
5,2,Chart Basics and Price Action,02D,4,Traders on CNBC Why Not Talk about Candlestick Patterns
5,2,Chart Basics and Price Action,02D,5,Example Candlestick Bottom
5,2,Chart Basics and Price Action,02D,6,How To Trade Candelstick Bottom Wait for More Information
5,2,Chart Basics and Price Action,02D,7,Bearish Engulfing Top on Daily Chart But What Is Probability
5,2,Chart Basics and Price Action,02D,8,Bullish Engulfing Bottom Need Context
5,2,Chart Basics and Price Action,02D,9,Market Inertia 80% Chance of More of the Same Behavior
5,2,Chart Basics and Price Action,02D,10,Inertia In Trends 80% Rule
5,2,Chart Basics and Price Action,02D,11,Inertia in Trading Ranges 80% Rule
5,2,Chart Basics and Price Action,02D,12,Trading Difficult
5,2,Chart Basics and Price Action,02D,13,Candlestick Patterns False Gods
5,2,Chart Basics and Price Action,02D,14,"If Not Candlesticks, Then What Is Price Action?"
5,2,Chart Basics and Price Action,02D,15,Main Points What Traders Talk About
5,2,Chart Basics and Price Action,02D,16,What Traders Talk About
5,2,Chart Basics and Price Action,02D,17,They Repeatedly Talk About Whether Trend Is Strong
5,2,Chart Basics and Price Action,02D,18,Two Forces Control All Markets Context and Momentum
5,2,Chart Basics and Price Action,02D,19,Two Forces Control All Markets Context and Momentum
5,2,Chart Basics and Price Action,02D,20,Pressure Early Sign of Strength
5,2,Chart Basics and Price Action,02D,21,You Need All of That and More
5,2,Chart Basics and Price Action,02D,22,Main Points Indicators
5,2,Chart Basics and Price Action,02D,23,Trading Can Make You Rich!!
5,2,Chart Basics and Price Action,02D,24,"Same Chart, No Indicators Easier to See What Market Is Doing"
5,2,Chart Basics and Price Action,02D,25,Indicators Are Based on Bars Just Watch the Bars!
5,2,Chart Basics and Price Action,02D,26,Indicators Are Based on Bars Just Watch the Bars!
5,2,Chart Basics and Price Action,02D,27,Any Type of Chart Is Good
5,2,Chart Basics and Price Action,02D,28,Review
6,3,Forex Basics,03A,1,Main Points
6,3,Forex Basics,03A,2,What Is Forex (Foreign Exchange)?
6,3,Forex Basics,03A,3,Not Traded on Exchange
6,3,Forex Basics,03A,4,No Central Market Trades Not Reported
6,3,Forex Basics,03A,5,What Is the Forex Market?
6,3,Forex Basics,03A,6,Who Trades Forex?
6,3,Forex Basics,03A,7,"Tourists Example, Paris"
6,3,Forex Basics,03A,8,Cost to Exchange in Forex
6,3,Forex Basics,03A,9,Why Trade Forex Markets?
6,3,Forex Basics,03A,10,Why Trade Forex Markets?
6,3,Forex Basics,03A,11,Main Points Forex Sessions
6,3,Forex Basics,03A,12,Forex Hours
6,3,Forex Basics,03A,13,Forex 3 Sessions per Day
6,3,Forex Basics,03A,14,Europe and US Overlap One Big Session
6,3,Forex Basics,03A,15,Eash Session Huge Volume
6,3,Forex Basics,03A,16,Between Sessions Dead Money
6,3,Forex Basics,03A,17,"Main Points Leverage, Fundamentals"
6,3,Forex Basics,03A,18,Forex Leverage
6,3,Forex Basics,03A,19,Forex Leverage Example
6,3,Forex Basics,03A,20,Fundamentals Good for Institutions
6,3,Forex Basics,03A,21,Fundamentals Useless for Most Traders
6,3,Forex Basics,03A,22,Forex Risks
6,3,Forex Basics,03A,23,"Forex Brokers Make Sure Big, Reputable Firm"
6,3,Forex Basics,03A,24,Other Popular Trading Platforms
6,3,Forex Basics,03A,25,Review
7,3,Forex Basics,03B,1,Main Points
7,3,Forex Basics,03B,2,"Commissions on 100,000 Units of EURUSD"
7,3,Forex Basics,03B,3,"Commissions on 100,000 Units of EURUSD"
7,3,Forex Basics,03B,4,Compare TS and IB Quotes for EURUSD
7,3,Forex Basics,03B,5,Goal of Forex Trading
7,3,Forex Basics,03B,6,Currency Pairs
7,3,Forex Basics,03B,7,Main Points Forex Symbols
7,3,Forex Basics,03B,8,Forex Symbols
7,3,Forex Basics,03B,9,Nicknames Most Popular Forex Pairs
7,3,Forex Basics,03B,10,Example EURUSD
7,3,Forex Basics,03B,11,Example EURJPY
7,3,Forex Basics,03B,12,How Firms Cheat
7,3,Forex Basics,03B,13,"The London ""4pm Fix"""
7,3,Forex Basics,03B,14,"The London ""4pm Fix"""
7,3,Forex Basics,03B,15,Main Points Types of Quotes
7,3,Forex Basics,03B,16,What Is a Pip?
7,3,Forex Basics,03B,17,Forex Quotes
7,3,Forex Basics,03B,18,Most Quotes Add Another Decimal Place
7,3,Forex Basics,03B,19,Most Charts Add Another Decimal Place
7,3,Forex Basics,03B,20,Profits and Loss in Pips
7,3,Forex Basics,03B,21,Comparing Results Traders Who Trade Different Size
7,3,Forex Basics,03B,22,Number of Pips Made or Lost
7,3,Forex Basics,03B,23,Review
8,3,Forex Basics,03C,1,Main Points
8,3,Forex Basics,03C,2,How Much Is a Pip Worth?
8,3,Forex Basics,03C,3,How Much Is a Pip Worth EURUSD?
8,3,Forex Basics,03C,4,How Much Is a Pip Worth USDJPY?
8,3,Forex Basics,03C,5,How Much Is a Pip Worth USDJPY?
8,3,Forex Basics,03C,6,"How Much Is a Pip Worth 100,000 USDJPY?"
8,3,Forex Basics,03C,7,Main Points Forex Workspaces
8,3,Forex Basics,03C,8,Common Forex Workspace
8,3,Forex Basics,03C,9,Interactive Brokers FX Trader
8,3,Forex Basics,03C,10,Interactive Brokers Price Ladder and 5 Minute Chart
8,3,Forex Basics,03C,11,To Place a Trade Need a Market
8,3,Forex Basics,03C,12,Two Types of Forex Price Quotes
8,3,Forex Basics,03C,13,Broker Decides on Bid and Ask Prices
8,3,Forex Basics,03C,14,Why No Commisions?
8,3,Forex Basics,03C,15,Example Bid Is 1.3161 - Ask 1.3162
8,3,Forex Basics,03C,16,"Price Quote Example 100,000 EURUSD"
8,3,Forex Basics,03C,17,Don't Ignore the Spread
8,3,Forex Basics,03C,18,Main Points Futures or Forex?
8,3,Forex Basics,03C,19,Futures Still Good for Trading
8,3,Forex Basics,03C,20,Futures Comprable to Forex
8,3,Forex Basics,03C,21,If Enter and Exit Immediately Nothing is Free
8,3,Forex Basics,03C,22,Spread Don't Ignore It!
8,3,Forex Basics,03C,23,Review
9,3,Forex Basics,03D,1,Main Points
9,3,Forex Basics,03D,2,Forex Charts Only Approximate
9,3,Forex Basics,03D,3,Forex Charts Do Not Show Actual Trades
9,3,Forex Basics,03D,4,Charts Brokers Have Several Choices
9,3,Forex Basics,03D,5,Interactive Brokers' Charts
9,3,Forex Basics,03D,6,Chart Bassd on Bid Buy Trade Might Not Be on Chart!
9,3,Forex Basics,03D,7,Chart Bassd on Ask Sell Trade Might Not Be on Chart!
9,3,Forex Basics,03D,8,Forex Charts Approximate and Never Perfect
9,3,Forex Basics,03D,9,Main Points Scalps and Swing Trades
9,3,Forex Basics,03D,10,"Forex ""Scalp"" 1-5 Bars, Only Small PB"
9,3,Forex Basics,03D,11,"Swing 5 or More Bars, Often 2 or More Legs, Allow PB"
9,3,Forex Basics,03D,12,Review
10,3,Forex Basics,03E,1,Main Points
10,3,Forex Basics,03E,2,Margins
10,3,Forex Basics,03E,3,"Margin Example 100,000 USDJPY"
10,3,Forex Basics,03E,4,"Margin Example 100,000 EURUSD"
10,3,Forex Basics,03E,5,Margins
10,3,Forex Basics,03E,6,Main Points Profits and Loss
10,3,Forex Basics,03E,7,Profit or Loss on a Trade Based on Quote Currency
10,3,Forex Basics,03E,8,End of Trading Day Converted Back to Your Currency
10,3,Forex Basics,03E,9,Rolloever At End of Each 24 Hour Session (5pm ET)
10,3,Forex Basics,03E,10,Carry Trade Buy Currency with Higher Interest Rates
10,3,Forex Basics,03E,11,Carry Trade Not for Traders
10,3,Forex Basics,03E,12,Carry Trade Affects Roll Price
10,3,Forex Basics,03E,13,Calculating Profit and Loss
10,3,Forex Basics,03E,14,"Example Short 100,000 EURUSD"
10,3,Forex Basics,03E,15,"Example Long 100,000 USDJPY"
10,3,Forex Basics,03E,16,"Example Long 100,000 EURJPY"
10,3,Forex Basics,03E,17,Review
11,4,My Setup,04,1,My Setup My Home Office
11,4,My Setup,04,2,My Job Make Money Doing Something I Love
11,4,My Setup,04,3,My Setup 5 Minute S&P500 ES Emini
11,4,My Setup,04,4,Emini Why Are Your Charts Different from Mine?
11,4,My Setup,04,5,My Setup 5 Minute EURUSD
11,4,My Setup,04,6,My Setup My Trading Room
11,4,My Setup,04,7,Indicator 60 Min 20 Bar EMA (TradeStation)
11,4,My Setup,04,8,Indicator 15 Min 20 Bar EMA (TradeStation)
11,4,My Setup,04,9,Indicators 15 Min & 60 Min EMAs on 5 Min Chart
11,4,My Setup,04,10,"My Setup Daily, Weekly, Monthly"
11,4,My Setup,04,11,"My Setup Daily, Weekly, Monthly"
12,5,Program Trading,05,1,Main Points
12,5,Program Trading,05,2,Program Trading
12,5,Program Trading,05,3,Program Trading Controls All Moves
12,5,Program Trading,05,4,Program Trading Arbitrage Trading
12,5,Program Trading,05,5,Programs Cannot Hide What They Are Doing
12,5,Program Trading,05,6,You Cannot Move Market
12,5,Program Trading,05,7,You Cannot Move Market
12,5,Program Trading,05,8,Can Firms Cheat
12,5,Program Trading,05,9,Can Firms Cheat
12,5,Program Trading,05,10,Main Points High Frequency Trading
12,5,Program Trading,05,11,High Frequency Trading (HFT)
12,5,Program Trading,05,12,Flash Boys Michael Lewis Book
12,5,Program Trading,05,13,Typical HFT Firm
12,5,Program Trading,05,14,HFT Firms Create 70% of Volume
12,5,Program Trading,05,15,"Emini Trading Flash Crash of May 6, 2010"
12,5,Program Trading,05,16,Flash Crash Very Few Firms Traded Huge Volume
12,5,Program Trading,05,17,Main Points Spoofing
12,5,Program Trading,05,18,Spoofing Makes Volume Useless
12,5,Program Trading,05,19,Spoofing Place Fake Orders
12,5,Program Trading,05,20,Spoofer Cancels Fake Orders
12,5,Program Trading,05,21,Paul Rotter The “Flipper”
12,5,Program Trading,05,22,Spoofer Steals from Other Firms
12,5,Program Trading,05,23,Main Points Front Running & HF Ts
12,5,Program Trading,05,24,Front Running Also Illegal
12,5,Program Trading,05,25,Front Running Huge Profits from Tiny Thefts
12,5,Program Trading,05,26,HFT Firm Maximizes Every Advantage
12,5,Program Trading,05,27,The Market Is Unfair!
12,5,Program Trading,05,28,Never out to Get the Little Guy
12,5,Program Trading,05,29,HFT Firm How Much Profit Today
12,5,Program Trading,05,30,HFT Firm A Few Make Huge Profits
12,5,Program Trading,05,31,HFT Firms Chase Riches Many Lose!
12,5,Program Trading,05,32,HFT Firms Not the Problem With Your Trading
12,5,Program Trading,05,33,Review
13,6,Personality Traits of Succesful Traders,06,1,Main Points
13,6,Personality Traits of Succesful Traders,06,2,Great Traders Characteristics
13,6,Personality Traits of Succesful Traders,06,3,Discipline Do What Is Right
13,6,Personality Traits of Succesful Traders,06,4,Objective Never Let Emotions Influence Decisions
13,6,Personality Traits of Succesful Traders,06,5,Patient Wait for Setup That Is Good for Your Trading Style
13,6,Personality Traits of Succesful Traders,06,6,Main Points Doing Stupid Things
13,6,Personality Traits of Succesful Traders,06,7,Stupid Things All Traders Do Them
13,6,Personality Traits of Succesful Traders,06,8,"After Selling If Now See as Bad Trade, Must Exit"
13,6,Personality Traits of Succesful Traders,06,9,Bad Habits Hard to Correct
13,6,Personality Traits of Succesful Traders,06,10,"Mistake Recognize, Admit, and Fix It Quickly"
13,6,Personality Traits of Succesful Traders,06,11,Respect the Market Treat It Like a Grandparent
13,6,Personality Traits of Succesful Traders,06,12,Markets Have Been Amazing Forever and Deserve Respect
13,6,Personality Traits of Succesful Traders,06,13,Main Points Comfortable with Uncertainty
13,6,Personality Traits of Succesful Traders,06,14,Comfortable with Uncertainty Nothing Is Perfect
13,6,Personality Traits of Succesful Traders,06,15,Comfortable with Uncertainty Nothing Is Ever Very Clear
13,6,Personality Traits of Succesful Traders,06,16,Comfort Zone Learn What Trading Style Makes You Happy
13,6,Personality Traits of Succesful Traders,06,17,Comfort Zone Many Ways to Make Money Trading
13,6,Personality Traits of Succesful Traders,06,18,"Swing Trades Low Probability, but Big Reward"
13,6,Personality Traits of Succesful Traders,06,19,"Scalps High Probability, Low Risk, but Small Profits"
13,6,Personality Traits of Succesful Traders,06,20,some Traders Trade High and Low Probability Setups
13,6,Personality Traits of Succesful Traders,06,21,Managing Trades More Important Than Trade Selection
13,6,Personality Traits of Succesful Traders,06,22,On 90% of the Bars Can Make Money Buying or Selling
13,6,Personality Traits of Succesful Traders,06,23,Review
14,7,Starting Out,07A,1,Main Points
14,7,Starting Out,07A,2,False Belief #1 There Are Perfect Trades
14,7,Starting Out,07A,3,False Belief #2 There Is a Best Time to Enter
14,7,Starting Out,07A,4,Main Points The Big Picture
14,7,Starting Out,07A,5,Big Picture
14,7,Starting Out,07A,6,Big Picture
14,7,Starting Out,07A,7,Management Is the Key
14,7,Starting Out,07A,8,Beginners Believe
14,7,Starting Out,07A,9,Beginners Discover
14,7,Starting Out,07A,10,What Do I Trade
14,7,Starting Out,07A,11,"Forex, Stocks, Bonds It's Just One Market!"
14,7,Starting Out,07A,12,"Forex, Stocks, Bonds It's Just One Market!"
14,7,Starting Out,07A,13,Main Points Chart Types and Time Frames
14,7,Starting Out,07A,14,What Type of Chart
14,7,Starting Out,07A,15,"Emini Example Many Types of Charts, All Good"
14,7,Starting Out,07A,16,What Time Frame
14,7,Starting Out,07A,17,Look for Highest Time Frame
14,7,Starting Out,07A,18,Wedge Bottom on 5 Min But Too Many Bars
14,7,Starting Out,07A,19,60 Min Wedge Reversal Good Number of Bars
14,7,Starting Out,07A,20,What Type of Forex Chart
14,7,Starting Out,07A,21,USDCAD During Quiet Hours
14,7,Starting Out,07A,22,Quiet Hours Look at Higher Time Frame
14,7,Starting Out,07A,23,Why Not Use Small Time Frame
14,7,Starting Out,07A,24,Manual High Frequency Trading
14,7,Starting Out,07A,25,Why Does 1 Minute Chart Fail
14,7,Starting Out,07A,26,Time Is the Problem
14,7,Starting Out,07A,27,Avoid Small Time Frames
14,7,Starting Out,07A,28,What's the Alternative
14,7,Starting Out,07A,29,Slippage
14,7,Starting Out,07A,30,Slippage
14,7,Starting Out,07A,31,Slippage
14,7,Starting Out,07A,32,Review
15,7,Starting Out,07B,1,Main Points
15,7,Starting Out,07B,2,Starting Out
15,7,Starting Out,07B,3,If Just 1 Point a Day in the ES Emini
15,7,Starting Out,07B,4,If Just 10 Pips a Day in the EURUSD
15,7,Starting Out,07B,5,To Make Money
15,7,Starting Out,07B,6,Main Points Emotions
15,7,Starting Out,07B,7,"Institutions Are Objective, Not Emotional"
15,7,Starting Out,07B,8,If You Are Feeling
15,7,Starting Out,07B,9,Feelings Are Unavoidable
15,7,Starting Out,07B,10,If You Care
15,7,Starting Out,07B,11,How to Not Care
15,7,Starting Out,07B,12,Beginner Trade the “ Don't Care” Size
15,7,Starting Out,07B,13,Main Points Fear and Greed
15,7,Starting Out,07B,14,What About Fear and Greed
15,7,Starting Out,07B,15,What Does a Beginner Fear
15,7,Starting Out,07B,16,Fear Don't Understand Markets
15,7,Starting Out,07B,17,Skilled Traders Never Afraid
15,7,Starting Out,07B,18,Skilled Traders Confident Can Handle Even a C
15,7,Starting Out,07B,19,Why No Greed
15,7,Starting Out,07B,20,Greed Is Wanting More Profit Than Is Logical
15,7,Starting Out,07B,21,Traders Are Human Obviously Feel Something
15,7,Starting Out,07B,22,Main Points Uncertainty
15,7,Starting Out,07B,23,"If Not Fear and Greed, Then What"
15,7,Starting Out,07B,24,Uncertainty and Disappointment
15,7,Starting Out,07B,25,Urgency
15,7,Starting Out,07B,26,Can Anyone Really Make Money
15,7,Starting Out,07B,27,Review
16,8,"Candles, Setups and Signal Bars",08A,1,Main Points
16,8,"Candles, Setups and Signal Bars",08A,2,Every Bar Either a One Bar Trend or One Bar T]
16,8,"Candles, Setups and Signal Bars",08A,3,When Not Clear Look at Context
16,8,"Candles, Setups and Signal Bars",08A,4,Trend Bar or Trading Range Bar
16,8,"Candles, Setups and Signal Bars",08A,5,Trend Bar or Trading Range Bar
16,8,"Candles, Setups and Signal Bars",08A,6,Tails They Are Failed Breakouts
16,8,"Candles, Setups and Signal Bars",08A,7,Tails They Are Failed Breakouts
16,8,"Candles, Setups and Signal Bars",08A,8,Main Points Signal Bars and Entry Bars
16,8,"Candles, Setups and Signal Bars",08A,9,Signal Bars and Entry Bars
16,8,"Candles, Setups and Signal Bars",08A,10,Signal Bars and Entry Bars
16,8,"Candles, Setups and Signal Bars",08A,11,Signal Bars Are Common Most Are Unremarka
16,8,"Candles, Setups and Signal Bars",08A,12,Strong Signal Bars Not Common
16,8,"Candles, Setups and Signal Bars",08A,13,Strong Sell Signal Bar Strong Bear Close
16,8,"Candles, Setups and Signal Bars",08A,14,Strong Sell Signal Bar Strong Tails
16,8,"Candles, Setups and Signal Bars",08A,15,Strong Sell Signal Bar Not Much Overlap
16,8,"Candles, Setups and Signal Bars",08A,16,Strong Sell Signal Bar Need Strong Follow-Thr
16,8,"Candles, Setups and Signal Bars",08A,17,Strong Buy Signal Bar Strong Bulls Close
16,8,"Candles, Setups and Signal Bars",08A,18,Strong Buy Signal Bar Need Follow-Through B
16,8,"Candles, Setups and Signal Bars",08A,19,Main Points Bad Signal Bars
16,8,"Candles, Setups and Signal Bars",08A,20,Weak Signal Bars Still Can Be Good
16,8,"Candles, Setups and Signal Bars",08A,21,Weak Signal Bars Still Can Be Good
16,8,"Candles, Setups and Signal Bars",08A,22,Weak Signal Bars Still Can Be Good
16,8,"Candles, Setups and Signal Bars",08A,23,Weak Signal Bars Still Can Be Good
16,8,"Candles, Setups and Signal Bars",08A,24,Weak Signal Bars Still Can Be Good
16,8,"Candles, Setups and Signal Bars",08A,25,Review
17,8,"Candles, Setups and Signal Bars",08B,1,Main Points
17,8,"Candles, Setups and Signal Bars",08B,2,Buy Reversal Bar Minimum Needed
17,8,"Candles, Setups and Signal Bars",08B,3,Buy Reversal Bar Not All Have Bull Bodies
17,8,"Candles, Setups and Signal Bars",08B,4,Best Buy Signal Bar Bull Reversal Bar
17,8,"Candles, Setups and Signal Bars",08B,5,Best Sell Signal Bar Bear Reversal Bar
17,8,"Candles, Setups and Signal Bars",08B,6,Sell Reversal Bar Minimum Needed
17,8,"Candles, Setups and Signal Bars",08B,7,Sell Reversal Bar Not All Are Bear Bars
17,8,"Candles, Setups and Signal Bars",08B,8,2 Bar Reversal BO Reverses on Next Bar
17,8,"Candles, Setups and Signal Bars",08B,9,Main Points Multi Bar Reversals
17,8,"Candles, Setups and Signal Bars",08B,10,Multi Bar Reversal BO Reverses 2 or More Bar
17,8,"Candles, Setups and Signal Bars",08B,11,2 Bar Reversal Reversal Bar on HTF
17,8,"Candles, Setups and Signal Bars",08B,12,2 Bar Reversal Same as Reversal Bar
17,8,"Candles, Setups and Signal Bars",08B,13,2 Bar Reversal Reversal Bar on HTF
17,8,"Candles, Setups and Signal Bars",08B,14,Main Points Inside and Outside Bars
17,8,"Candles, Setups and Signal Bars",08B,15,Inside Bar (ib) Type of 2 Bar Reversal
17,8,"Candles, Setups and Signal Bars",08B,16,ib as Buy Signal Bar Needs Good Context
17,8,"Candles, Setups and Signal Bars",08B,17,Outside Bar (ob) Type of 2 Bar Reversal
17,8,"Candles, Setups and Signal Bars",08B,18,Big ob in 1st Hour Often Starts Swing Trade
17,8,"Candles, Setups and Signal Bars",08B,19,BIG ob Sometimes Is BO and Entry Bar
17,8,"Candles, Setups and Signal Bars",08B,20,Review
18,8,"Candles, Setups and Signal Bars",08C,1,Main Points
18,8,"Candles, Setups and Signal Bars",08C,2,Small TTR Needs Good Context for Breakout (B
18,8,"Candles, Setups and Signal Bars",08C,3,Signal Bar Sometimes at End of 2 —- 4 Bar TTRs
18,8,"Candles, Setups and Signal Bars",08C,4,li Inside Bar after an Inside Bar
18,8,"Candles, Setups and Signal Bars",08C,5,loi Inside Bar after an Outside Bar
18,8,"Candles, Setups and Signal Bars",08C,6,ob Extends above and below Prior Bar
18,8,"Candles, Setups and Signal Bars",08C,7,"ib, il, 101i, O10, ob Common, Especially in TR"
18,8,"Candles, Setups and Signal Bars",08C,8,Small TTR Can Be Trend Reversal Setup
18,8,"Candles, Setups and Signal Bars",08C,9,Small TTR Can Be Trend Resumption Setup (FI.
18,8,"Candles, Setups and Signal Bars",08C,10,"After Big, Late BO Can Lead to Reversal"
18,8,"Candles, Setups and Signal Bars",08C,11,Bad Context In 10+ Bar TTR
18,8,"Candles, Setups and Signal Bars",08C,12,Outside Bar Often Is Trap
