title,mm:ss,cumulative_hours,hours_left_after_current,%
52A. Losing When Good Trade Goes Bad (192),27:39,97.548,12.193,88.89%
52B. Losing When Good Trade Goes Bad (193),30:00,98.048,11.693,89.34%
Bonus01. End of Day Traps (194),35:02,98.632,11.109,89.88%
Bonus02. Trading Patterns on the Open (195),40:46,99.311,10.429,90.50%
Bonus03. Trading the Final Hour (196),37:36,99.938,9.803,91.07%
Bonus04. Trading Bear Channels (197),34:03,100.506,9.235,91.58%
Bonus05. Trading Tight Trading Ranges on the Open (198),46:25,101.279,8.462,92.29%
Bonus06. 3 Patterns Every Trader and Investor Should Know (199),62:48,102.326,7.415,93.24%
Bonus07. Trading When Market Is in a Bull Channel (200),51:13,103.179,6.561,94.02%
Bonus08. 5 Thoughts on Psychology – Part 1 (201),57:09,104.132,5.609,94.89%
Bonus09. Scalping series: #01 Rules for Scalping (202),28:06,104.6,5.141,95.32%
Bonus10. Scalping series: #02 Scalping 2-minute Emini Chart (203),46:04,105.368,4.373,96.02%
Bonus11. Trading Options for Day Trades (204),48:20,106.174,3.567,96.75%
Bonus12. Trading Options on Daily Charts (205),54:08,107.076,2.665,97.57%
Bonus13. 5 Steps to Finding Today’s Trades (206),29:22,107.566,2.175,98.02%
Bonus14. 10 Emini Scalps on 15-Second Chart (207),24:17,107.97,1.771,98.39%
"Bonus15. ii, ioi, OO Patterns: Definitions (208)",44:12,108.707,1.034,99.06%
"Bonus16. ii, ioi, OO Patterns: Examples (209)",62:02,109.741,0,100.00%
